Word Pair,MI,Mean CosSim,MSE
Again-Bidet,0.0,0.033577164502832615,0.12
Again-Bigot,0.004169758586488381,0.033577164502832615,0.12
Again-Billy,0.004169758586488381,0.04499295485176355,0.125
Again-Binge,0.004169758586488381,0.0308015753132657,0.125
Again-Birch,0.004169758586488381,0.031094191037924282,0.125
Again-Birth,0.004169758586488381,0.0417705612995565,0.125
Again-Bitty,0.004169758586488381,0.031094191037924282,0.125
Again-Black,0.004169758586488381,0.030801575313265696,0.105
Again-Blade,0.004169758586488381,0.033577164502832615,0.12
Agent-Above,0.0016671492549624328,0.04499295485176356,0.07999999999999999
Agent-After,0.0016671492549624328,0.05984792114009951,0.10499999999999998
Agent-Again,0.0,0.04499295485176356,0.07999999999999999
Agent-Agent,0.16794414773417263,0.0625,0.0
Agent-Agree,0.0,0.0417705612995565,0.10499999999999998
Agent-Alarm,0.0,0.029156646934131853,0.07999999999999999
Agent-Album,0.0,0.0432751059560398,0.12
Agent-Alive,0.0016671492549624328,0.04499295485176356,0.105
Agent-Allay,0.0,0.04553458691207961,0.105
Agent-Alleg,0.0,0.04553458691207961,0.12
Agent-Aloft,0.16794414773417263,0.0625,0.07999999999999999
Agent-Alone,0.0,0.0308015753132657,0.07999999999999999
Agent-Along,0.0,0.04553458691207961,0.07999999999999999
Agent-Amaze,0.0016671492549624328,0.04499295485176356,0.105
Agent-Ample,0.0,0.02997346907287814,0.10499999999999998
Agent-Angel,0.0,0.0432751059560398,0.11999999999999997
Agent-Angry,0.0,0.05725333691207961,0.08
Agent-Ankle,0.0,0.02997346907287814,0.105
Agent-April,0.0,0.02997346907287814,0.12
Agent-Arena,0.0,0.0308015753132657,0.08
Agent-Arise,0.0016671492549624328,0.04499295485176356,0.105
Agent-Armor,0.0,0.02997346907287814,0.12
Agent-Aside,0.0016671492549624328,0.04499295485176356,0.105
Agent-Asset,0.04236459323068101,0.029973469072878137,0.105
Agent-Avoid,0.0016671492549624328,0.04499295485176356,0.105
Agent-Bacon,0.0,0.04553458691207961,0.125
Agent-Badge,0.0,0.0308015753132657,0.125
Agent-Bagel,0.0,0.04553458691207961,0.12499999999999999
Agent-Baker,0.0,0.043275105956039804,0.125
Agent-Balmy,0.0,0.059847921140099514,0.105
Agent-Bandy,0.0,0.05984792114009951,0.11999999999999998
Agent-Barer,0.0,0.043275105956039804,0.125
Agent-Basil,0.0016671492549624328,0.05725333691207961,0.125
Agent-Batch,0.0016671492549624328,0.0417705612995565,0.125
Agent-Bathe,0.0016671492549624328,0.043275105956039804,0.12499999999999999
Agent-Beach,0.0,0.029973469072878137,0.12
Agent-Beady,0.0,0.04553458691207961,0.10499999999999998
Agent-Beaky,0.0,0.059847921140099514,0.07999999999999999
Agent-Beamy,0.0,0.059847921140099514,0.07999999999999999
Agent-Beard,0.0,0.04553458691207961,0.105
Agent-Beige,0.0,0.029973469072878137,0.12
Agent-Bella,0.0,0.043275105956039804,0.12
Agent-Belly,0.0,0.059847921140099514,0.105
Agent-Belon,0.0,0.04327510595603981,0.125
Agent-Berry,0.0,0.059847921140099514,0.105
Agent-Beryl,0.0,0.059847921140099514,0.12499999999999996
Agent-Beset,0.07797052459516332,0.043275105956039804,0.12
Agent-Betsy,0.007131118889690036,0.0417705612995565,0.11999999999999998
Agent-Betta,0.007131118889690036,0.04327510595603981,0.125
Agent-Betty,0.007131118889690036,0.0417705612995565,0.12
Agent-Biddy,0.0,0.04499295485176356,0.12
Agent-Bidet,0.16794414773417263,0.04553458691207961,0.12
Agent-Bigot,0.16794414773417263,0.04553458691207961,0.12
Agent-Billy,0.0,0.059847921140099514,0.105
Agent-Binge,0.0,0.043275105956039804,0.125
Agent-Birch,0.0,0.0417705612995565,0.125
Agent-Birth,0.0016671492549624328,0.05984792114009951,0.125
Agent-Bitty,0.007131118889690036,0.0417705612995565,0.12
Agent-Black,0.0,0.0432751059560398,0.12
Agent-Blade,0.0,0.04553458691207961,0.12
Agree-Above,0.0,0.031094191037924285,0.08
Agree-After,0.0,0.04499295485176355,0.08
Agree-Again,0.0,0.031094191037924285,0.08
Agree-Agent,0.0,0.0417705612995565,0.10499999999999998
Agree-Agree,0.0,0.03515625,0.0
Agree-Alarm,0.0,0.02174467292893051,0.12
Agree-Album,0.0,0.03357716450283262,0.105
Agree-Alive,0.0,0.031094191037924285,0.105
Agree-Allay,0.0,0.030801575313265696,0.07999999999999999
Agree-Alleg,0.0,0.030801575313265703,0.07999999999999999
Agree-Aloft,0.0,0.0417705612995565,0.12
Agree-Alone,0.0,0.02174467292893051,0.105
Agree-Along,0.0,0.0308015753132657,0.12
Agree-Amaze,0.0,0.03109419103792429,0.105
Agree-Ample,0.0,0.020745549246666238,0.07999999999999999
Agree-Angel,0.0,0.03357716450283262,0.10499999999999998
Agree-Angry,0.0,0.0417705612995565,0.12
Agree-Ankle,0.0,0.020745549246666238,0.07999999999999999
Agree-April,0.0,0.020745549246666238,0.07999999999999999
Agree-Arena,0.0,0.02174467292893051,0.10499999999999998
Agree-Arise,0.0,0.03109419103792429,0.105
Agree-Armor,0.0,0.020745549246666238,0.07999999999999999
Agree-Aside,0.0,0.031094191037924282,0.105
Agree-Asset,0.0,0.020745549246666235,0.105
Agree-Avoid,0.0,0.031094191037924285,0.105
Agree-Bacon,0.0,0.030801575313265696,0.12
Agree-Badge,0.0,0.021744672928930512,0.11999999999999998
Agree-Bagel,0.0,0.030801575313265696,0.11999999999999998
Agree-Baker,0.0,0.0308015753132657,0.105
Agree-Balmy,0.0,0.0417705612995565,0.12
Agree-Bandy,0.0,0.04499295485176356,0.12
Agree-Barer,0.0,0.0308015753132657,0.105
Agree-Basil,0.0,0.0417705612995565,0.12
Agree-Batch,0.0,0.03515625,0.125
Agree-Bathe,0.0,0.03357716450283262,0.12
Agree-Beach,0.0,0.02276729345603981,0.12499999999999999
Agree-Beady,0.0,0.030801575313265696,0.12499999999999999
Agree-Beaky,0.0,0.038667888615493584,0.12499999999999999
Agree-Beamy,0.0,0.038667888615493584,0.12499999999999999
Agree-Beard,0.0,0.030801575313265703,0.12499999999999999
Agree-Beige,0.0,0.020745549246666235,0.12
Agree-Bella,0.0,0.0308015753132657,0.10499999999999998
Agree-Belly,0.0,0.0417705612995565,0.11999999999999998
Agree-Belon,0.0,0.030801575313265703,0.10499999999999998
Agree-Berry,0.0,0.0417705612995565,0.11999999999999998
Agree-Beryl,0.0,0.04177056129955651,0.12
Agree-Beset,0.0,0.030801575313265696,0.11999999999999998
Agree-Betsy,0.0,0.031094191037924285,0.12499999999999999
Agree-Betta,0.0,0.0308015753132657,0.11999999999999998
Agree-Betty,0.0,0.031094191037924285,0.12499999999999999
Agree-Biddy,0.0,0.031094191037924285,0.125
Agree-Bidet,0.0,0.030801575313265696,0.12
Agree-Bigot,0.0,0.030801575313265696,0.11999999999999998
Agree-Billy,0.0,0.0417705612995565,0.12
Agree-Binge,0.0,0.033577164502832615,0.10499999999999998
Agree-Birch,0.0,0.03515625,0.11999999999999998
Agree-Birth,0.0,0.044992954851763564,0.11999999999999998
Agree-Bitty,0.0,0.031094191037924285,0.125
Agree-Black,0.0,0.033577164502832615,0.125
Agree-Blade,0.0,0.03357716450283262,0.11999999999999998
Alarm-Above,0.004169758586488381,0.020745549246666238,0.105
Alarm-After,0.0,0.02997346907287814,0.105
Alarm-Again,0.004169758586488381,0.020745549246666238,0.08
Alarm-Agent,0.0,0.029156646934131853,0.07999999999999999
Alarm-Agree,0.0,0.02174467292893051,0.12
Alarm-Alarm,0.2337916587064592,0.015625,0.0
Alarm-Album,0.0,0.023101181484949274,0.08
Alarm-Alive,0.004169758586488381,0.020745549246666238,0.07999999999999999
Alarm-Allay,0.004169758586488381,0.022384776335221748,0.105
Alarm-Alleg,0.0,0.022384776335221748,0.105
Alarm-Aloft,0.0,0.029156646934131853,0.08
Alarm-Alone,0.0,0.015103280803443017,0.04499999999999999
Alarm-Along,0.0,0.022384776335221748,0.045
Alarm-Amaze,0.004169758586488381,0.020745549246666238,0.08
Alarm-Ample,0.2337916587064592,0.015363033072691948,0.07999999999999999
Alarm-Angel,0.0,0.023101181484949274,0.08
Alarm-Angry,0.2337916587064592,0.030801575313265696,0.07999999999999999
Alarm-Ankle,0.2337916587064592,0.015363033072691948,0.08
Alarm-April,0.004169758586488381,0.015363033072691948,0.08
Alarm-Arena,0.0,0.015103280803443017,0.045
Alarm-Arise,0.004169758586488381,0.020745549246666238,0.08
Alarm-Armor,0.004169758586488381,0.015363033072691948,0.08
Alarm-Aside,0.004169758586488381,0.020745549246666235,0.105
Alarm-Asset,0.0,0.015363033072691948,0.12
Alarm-Avoid,0.004169758586488381,0.020745549246666238,0.105
Alarm-Bacon,0.004169758586488381,0.022384776335221748,0.12
Alarm-Badge,0.004169758586488381,0.01510328080344302,0.125
Alarm-Bagel,0.0,0.022384776335221748,0.12
Alarm-Baker,0.0,0.023101181484949274,0.12
Alarm-Balmy,0.004169758586488381,0.02997346907287814,0.12
Alarm-Bandy,0.004169758586488381,0.02997346907287814,0.125
Alarm-Barer,0.0,0.023101181484949274,0.12
Alarm-Basil,0.004169758586488381,0.030801575313265696,0.12
Alarm-Batch,0.004169758586488381,0.02174467292893051,0.125
Alarm-Bathe,0.0,0.023101181484949274,0.125
Alarm-Beach,0.004169758586488381,0.015363033072691948,0.12
Alarm-Beady,0.004169758586488381,0.022384776335221748,0.12
Alarm-Beaky,0.004169758586488381,0.02997346907287814,0.105
Alarm-Beamy,0.004169758586488381,0.02997346907287814,0.105
Alarm-Beard,0.004169758586488381,0.022384776335221748,0.105
Alarm-Beige,0.004169758586488381,0.015363033072691948,0.12
Alarm-Bella,0.004169758586488381,0.023101181484949274,0.12
Alarm-Belly,0.004169758586488381,0.02997346907287814,0.12
Alarm-Belon,0.004169758586488381,0.023101181484949274,0.12
Alarm-Berry,0.004169758586488381,0.02997346907287814,0.12
Alarm-Beryl,0.0,0.02997346907287814,0.12
Alarm-Beset,0.0,0.023101181484949274,0.125
Alarm-Betsy,0.004169758586488381,0.02174467292893051,0.125
Alarm-Betta,0.004169758586488381,0.023101181484949274,0.125
Alarm-Betty,0.004169758586488381,0.02174467292893051,0.125
Alarm-Biddy,0.004169758586488381,0.020745549246666238,0.125
Alarm-Bidet,0.0,0.022384776335221748,0.125
Alarm-Bigot,0.004169758586488381,0.022384776335221748,0.125
Alarm-Billy,0.004169758586488381,0.02997346907287814,0.12
Alarm-Binge,0.004169758586488381,0.023101181484949274,0.125
Alarm-Birch,0.004169758586488381,0.02174467292893051,0.125
Alarm-Birth,0.004169758586488381,0.02997346907287814,0.125
Alarm-Bitty,0.004169758586488381,0.02174467292893051,0.125
Alarm-Black,0.004169758586488381,0.023101181484949274,0.08
Alarm-Blade,0.004169758586488381,0.022384776335221748,0.105
Album-Above,0.0,0.030801575313265703,0.12
Album-After,0.0,0.04553458691207961,0.07999999999999999
Album-Again,0.0,0.030801575313265696,0.08
Album-Agent,0.0,0.043275105956039804,0.12
Album-Agree,0.0,0.03357716450283262,0.105
Album-Alarm,0.0,0.023101181484949277,0.08
Album-Album,0.0,0.03515625,0.0
Album-Alive,0.0,0.030801575313265703,0.105
Album-Allay,0.0,0.0331743776840597,0.08
Album-Alleg,0.0,0.0331743776840597,0.08
Album-Aloft,0.0,0.04327510595603981,0.105
Album-Alone,0.0,0.022384776335221748,0.105
Album-Along,0.0,0.0331743776840597,0.105
Album-Amaze,0.0,0.030801575313265703,0.105
Album-Ample,0.0,0.022384776335221748,0.10499999999999998
Album-Angel,0.0,0.03515625,4.005934284325451e-34
Album-Angry,0.0,0.04553458691207961,0.07999999999999999
Album-Ankle,0.0,0.022384776335221748,0.105
Album-April,0.0,0.022384776335221748,0.045
Album-Arena,0.0,0.022384776335221748,0.105
Album-Arise,0.0,0.030801575313265703,0.105
Album-Armor,0.0,0.022384776335221748,0.045
Album-Aside,0.0,0.030801575313265703,0.12
Album-Asset,0.0,0.022384776335221748,0.105
Album-Avoid,0.0,0.030801575313265696,0.105
Album-Bacon,0.0,0.03317437768405971,0.08
Album-Badge,0.0,0.022384776335221748,0.12
Album-Bagel,0.0,0.03317437768405971,0.08
Album-Baker,0.0,0.0331743776840597,0.105
Album-Balmy,0.0,0.04327510595603981,0.125
Album-Bandy,0.0,0.04553458691207961,0.125
Album-Barer,0.0,0.0331743776840597,0.105
Album-Basil,0.0,0.04553458691207961,0.105
Album-Batch,0.0,0.03357716450283262,0.125
Album-Bathe,0.0,0.03515625,0.125
Album-Beach,0.0,0.023101181484949274,0.125
Album-Beady,0.0,0.03317437768405971,0.125
Album-Beaky,0.0,0.04327510595603981,0.125
Album-Beamy,0.0,0.04327510595603981,0.125
Album-Beard,0.0,0.03317437768405971,0.125
Album-Beige,0.0,0.022384776335221748,0.125
Album-Bella,0.0,0.03317437768405971,0.125
Album-Belly,0.0,0.04327510595603981,0.125
Album-Belon,0.0,0.03317437768405971,0.105
Album-Berry,0.0,0.04327510595603981,0.125
Album-Beryl,0.0,0.043275105956039804,0.12
Album-Beset,0.0,0.0331743776840597,0.12
Album-Betsy,0.0,0.030801575313265703,0.125
Album-Betta,0.0,0.03317437768405971,0.125
Album-Betty,0.0,0.030801575313265703,0.125
Album-Biddy,0.0,0.030801575313265696,0.12
Album-Bidet,0.0,0.03317437768405971,0.105
Album-Bigot,0.0,0.03317437768405971,0.105
Album-Billy,0.0,0.04327510595603981,0.125
Album-Binge,0.0,0.03515625,0.125
Album-Birch,0.0,0.033577164502832615,0.125
Album-Birth,0.0,0.04553458691207961,0.125
Album-Bitty,0.0,0.030801575313265703,0.125
Album-Black,0.0,0.03515625,0.105
Album-Blade,0.0,0.03317437768405971,0.12
Alive-Above,0.40173580644063184,0.03515625,0.045
Alive-After,0.0016671492549624328,0.0417705612995565,0.12
Alive-Again,0.004169758586488381,0.031094191037924282,0.105
Alive-Agent,0.0016671492549624328,0.04499295485176355,0.105
Alive-Agree,0.0,0.031094191037924282,0.105
Alive-Alarm,0.004169758586488381,0.020745549246666238,0.07999999999999999
Alive-Album,0.0,0.0308015753132657,0.105
Alive-Alive,0.40173580644063184,0.03515625,0.0
Alive-Allay,0.004169758586488381,0.030801575313265696,0.105
Alive-Alleg,0.0,0.030801575313265696,0.105
Alive-Aloft,0.0016671492549624328,0.04499295485176355,0.07999999999999999
Alive-Alone,0.0,0.022767293456039804,0.04499999999999999
Alive-Along,0.0,0.030801575313265696,0.07999999999999999
Alive-Amaze,0.40173580644063184,0.03515625,3.0814879110195775e-34
Alive-Ample,0.004169758586488381,0.020745549246666238,0.07999999999999999
Alive-Angel,0.0,0.030801575313265696,0.105
Alive-Angry,0.004169758586488381,0.03866788861549358,0.105
Alive-Ankle,0.004169758586488381,0.020745549246666238,0.08
Alive-April,0.004169758586488381,0.02174467292893051,0.105
Alive-Arena,0.0,0.022767293456039804,0.04499999999999999
Alive-Arise,0.40173580644063184,0.03515625,3.6977854932234927e-34
Alive-Armor,0.004169758586488381,0.02174467292893051,0.105
Alive-Aside,0.005836907841450814,0.03515625,0.08
Alive-Asset,0.018317486162038737,0.02174467292893051,0.12
Alive-Avoid,0.005836907841450814,0.031094191037924282,0.105
Alive-Bacon,0.004169758586488381,0.030801575313265696,0.125
Alive-Badge,0.004169758586488381,0.02174467292893051,0.12
Alive-Bagel,0.0,0.0308015753132657,0.125
Alive-Baker,0.0,0.030801575313265696,0.125
Alive-Balmy,0.004169758586488381,0.0417705612995565,0.125
Alive-Bandy,0.004169758586488381,0.0417705612995565,0.125
Alive-Barer,0.0,0.030801575313265696,0.125
Alive-Basil,0.005836907841450814,0.03866788861549358,0.125
Alive-Batch,0.005836907841450814,0.031094191037924282,0.125
Alive-Bathe,0.0016671492549624328,0.030801575313265696,0.12
Alive-Beach,0.004169758586488381,0.02174467292893051,0.12
Alive-Beady,0.004169758586488381,0.0308015753132657,0.12
Alive-Beaky,0.004169758586488381,0.0417705612995565,0.12
Alive-Beamy,0.004169758586488381,0.0417705612995565,0.12
Alive-Beard,0.004169758586488381,0.033577164502832615,0.12
Alive-Beige,0.004169758586488381,0.02174467292893051,0.105
Alive-Bella,0.004169758586488381,0.030801575313265696,0.12
Alive-Belly,0.004169758586488381,0.0417705612995565,0.125
Alive-Belon,0.004169758586488381,0.030801575313265696,0.125
Alive-Berry,0.004169758586488381,0.0417705612995565,0.125
Alive-Beryl,0.0,0.04499295485176356,0.12
Alive-Beset,0.007131118889690036,0.030801575313265696,0.125
Alive-Betsy,0.0821402831816517,0.031094191037924285,0.12
Alive-Betta,0.0821402831816517,0.030801575313265696,0.105
Alive-Betty,0.0821402831816517,0.031094191037924285,0.12
Alive-Biddy,0.004169758586488381,0.031094191037924282,0.125
Alive-Bidet,0.0016671492549624328,0.030801575313265696,0.125
Alive-Bigot,0.005836907841450814,0.030801575313265696,0.125
Alive-Billy,0.004169758586488381,0.0417705612995565,0.125
Alive-Binge,0.004169758586488381,0.0308015753132657,0.12
Alive-Birch,0.004169758586488381,0.031094191037924282,0.125
Alive-Birth,0.172113906320661,0.04499295485176355,0.12
Alive-Bitty,0.0821402831816517,0.031094191037924285,0.12
Alive-Black,0.004169758586488381,0.030801575313265696,0.105
Alive-Blade,0.004169758586488381,0.033577164502832615,0.08
Allay-Above,0.004169758586488381,0.030801575313265696,0.12
Allay-After,0.0,0.04553458691207961,0.105
Allay-Again,0.2337916587064592,0.033577164502832615,0.105
Allay-Agent,0.0,0.04553458691207961,0.105
Allay-Agree,0.0,0.030801575313265696,0.07999999999999999
Allay-Alarm,0.004169758586488381,0.022384776335221745,0.105
Allay-Album,0.0,0.0331743776840597,0.08
Allay-Alive,0.004169758586488381,0.030801575313265696,0.105
Allay-Allay,0.2337916587064592,0.03515625,0.0
Allay-Alleg,0.0,0.03515625,0.044999999999999984
Allay-Aloft,0.0,0.04553458691207961,0.08
Allay-Alone,0.0,0.022384776335221748,0.105
Allay-Along,0.0,0.03515625,0.105
Allay-Amaze,0.004169758586488381,0.030801575313265696,0.105
